locname,nmeas,firstyear,lastyear,nyears,yearspan,mean,std,q05,q50,q95,q95-q05,ref,firstdate,lastdate,alias,xcr,ycr
P11C0015,335.0,1991.0,2006.0,16.0,16.0,-45.85970149253731,55.99204407690995,-100.0,-60.0,75.30000000000001,175.3,NAP,1991-05-17,2006-11-28,11CS7061,183010.0,559010.0
P11C0016,335.0,1991.0,2006.0,16.0,16.0,-77.60298507462687,92.95595178953626,-145.0,-117.0,117.0,262.0,NAP,1991-05-17,2006-11-28,11CS7062,183050.0,558680.0
P11C0017,90.0,1991.0,1995.0,5.0,5.0,-62.922222222222224,16.2945001942151,-87.75,-65.0,-35.0,52.75,NAP,1991-05-17,1995-03-28,11CS7063,183375.0,558095.0
P11C0018,327.0,1991.0,2006.0,16.0,16.0,-56.027522935779814,69.96284623756587,-100.0,-90.0,90.0,190.0,NAP,1991-09-14,2006-11-28,11CS7064,183545.0,557575.0
P11C0019,328.0,1992.0,2010.0,19.0,19.0,-105.1219512195122,40.11120329559118,-135.0,-104.0,-51.0,84.0,NAP,1992-08-27,2010-10-28,11CS7074,183320.0,558330.0
P11C0020,43.0,1991.0,1993.0,3.0,3.0,-89.51162790697674,4.812543595464905,-97.8,-88.0,-83.0,14.799999999999997,NAP,1991-12-13,1993-11-15,11CS7075,189040.0,558340.0
P11C0021,330.0,1991.0,2006.0,16.0,16.0,-56.35454545454545,69.7218860376704,-100.0,-90.0,90.0,190.0,NAP,1991-09-14,2006-11-28,11CS7081,183080.0,556860.0
P11C0022,85.0,1991.0,1995.0,5.0,5.0,-122.07058823529412,8.975878038087519,-133.0,-123.0,-112.2,20.799999999999997,NAP,1991-09-14,1995-05-30,11CS7082,183080.0,556860.0
P11C0023,116.0,1991.0,1996.0,6.0,6.0,-61.37068965517241,16.901005975932335,-90.0,-50.0,-40.0,50.0,NAP,1991-05-17,1996-11-27,11CS7090,181310.0,560180.0
P11C0024,79.0,1991.0,1995.0,5.0,5.0,-48.620253164556964,3.708285240143414,-52.1,-50.0,-40.0,12.100000000000001,NAP,1991-10-15,1995-04-26,11CS7091,180840.0,559200.0
P11C0025,54.0,1992.0,1995.0,4.0,4.0,-47.333333333333336,4.343722427630694,-52.0,-48.0,-42.30000000000001,9.699999999999989,NAP,1992-06-16,1995-03-28,11CS7092,181450.0,551025.0
P11C0027,140.0,2011.0,2019.0,9.0,9.0,-88.35714285714286,9.198116344991064,-103.0,-90.0,-75.0,28.0,NAP,2011-08-15,2019-09-30,,183059.0,558627.0
P11C0028,89.0,2011.0,2019.0,7.0,9.0,-65.43820224719101,16.593368785163836,-90.0,-63.0,-43.80000000000001,46.19999999999999,NAP,2011-08-15,2019-09-30,,183535.0,557601.0
P11C0029,124.0,2012.0,2019.0,8.0,8.0,-134.0483870967742,5.417308662957174,-143.0,-132.0,-127.15,15.849999999999994,NAP,2012-07-13,2019-09-30,,182273.0,562485.0
P11C0030,76.0,2011.0,2019.0,9.0,9.0,-43.9078947368421,45.22069662785805,-91.0,-52.0,57.25,148.25,NAP,2011-10-17,2019-09-16,,180025.0,559646.0
P11D0001,509.0,1961.0,1983.0,23.0,23.0,-64.84282907662083,12.993595206486118,-84.0,-65.0,-47.0,37.0,NAP,1961-03-14,1983-10-14,11DS0026,196300.0,555140.0
P11D0002,308.0,1992.0,2008.0,17.0,17.0,-99.08441558441558,7.243059172200921,-110.0,-100.0,-87.0,23.0,NAP,1992-07-14,2008-01-28,11DS7001,192350.0,561980.0
P11D0003,325.0,1991.0,2008.0,18.0,18.0,-90.01230769230769,8.01848765974468,-105.6,-90.0,-78.0,27.599999999999994,NAP,1991-12-13,2008-01-28,11DS7002,191413.0,560040.0
P11D0004,104.0,1991.0,1997.0,7.0,7.0,-102.125,9.172232790816642,-118.0,-101.0,-93.0,25.0,NAP,1991-12-13,1997-02-28,11DS7003,191510.0,560070.0
P11D0005,390.0,1992.0,2012.0,21.0,21.0,-122.9948717948718,5.0712126049193,-129.0,-124.0,-116.0,13.0,NAP,1992-07-14,2012-06-28,11DS7015,198130.0,561820.0
P11D0007,473.0,1992.0,2017.0,26.0,26.0,-161.0401691331924,6.7406930166129575,-173.0,-161.0,-152.0,21.0,NAP,1992-07-14,2017-09-27,11DS7017,199750.0,560000.0
P11D0008,391.0,1992.0,2012.0,21.0,21.0,-122.08184143222506,4.863622442901954,-130.0,-120.0,-116.0,14.0,NAP,1992-07-14,2012-06-28,11DS7018,198250.0,561800.0
P11D0011,64.0,1993.0,1995.0,3.0,3.0,-90.9375,8.035388000430366,-102.7,-92.0,-80.30000000000001,22.39999999999999,NAP,1993-02-09,1995-11-24,11DS7029,198530.0,557380.0
P11D0012,156.0,1993.0,2004.0,12.0,12.0,-91.18589743589743,10.88698808266058,-111.0,-94.0,-74.0,37.0,NAP,1993-01-14,2004-02-16,11DS7038,199070.0,560710.0
