locname,nmeas,firstyear,lastyear,nyears,yearspan,mean,std,q05,q50,q95,q95-q05,ref,firstdate,lastdate,alias,xcr,ycr
P58A0006,34.0,1985.0,1987.0,3.0,3.0,28.465882352941183,0.07691465743035761,28.3265,28.475,28.572,0.24549999999999983,NAP,1985-04-29,1987-04-29,58AS7105,184050.0,372260.0
P58A0007,34.0,1985.0,1987.0,3.0,3.0,28.370588235294118,0.06386259760257994,28.262999999999998,28.380000000000003,28.4435,0.1805000000000021,NAP,1985-04-29,1987-04-29,58AS7106,184080.0,373300.0
P58A0008,191.0,1985.0,2002.0,18.0,18.0,27.980575916230357,0.15766113977726617,27.735,27.99,28.23,0.495000000000001,NAP,1985-04-29,2002-04-15,58AS7107,184530.0,371500.0
P58A0009,215.0,1985.0,2002.0,18.0,18.0,28.020372093023255,0.1494533689748587,27.747,28.03,28.243,0.49599999999999866,NAP,1985-04-29,2002-04-15,58AS7108,184800.0,371710.0
P58A0010,212.0,1985.0,2002.0,18.0,18.0,27.75816037735849,0.1364197340030002,27.5155,27.75,27.96,0.44450000000000145,NAP,1985-04-29,2002-04-15,58AS7109,184830.0,371730.0
P58A0011,211.0,1985.0,2002.0,18.0,18.0,27.811421800947862,0.12461318167138231,27.6,27.81,27.98,0.379999999999999,NAP,1985-04-29,2002-04-15,58AS7110,185000.0,372350.0
P58A0012,215.0,1985.0,2002.0,18.0,18.0,28.05097674418604,0.12481940007150327,27.777,28.08,28.2,0.42299999999999827,NAP,1985-04-29,2002-04-15,58AS7111,185200.0,372370.0
P58A0013,200.0,1985.0,2002.0,18.0,18.0,28.322549999999964,0.13649598260143658,28.0685,28.345,28.49,0.4214999999999982,NAP,1985-04-29,2002-04-15,58AS7112,185220.0,372550.0
P58A0014,181.0,1985.0,2002.0,18.0,18.0,27.77635359116022,0.13450719456523394,27.54,27.79,27.96,0.4200000000000017,NAP,1985-04-29,2002-04-15,58AS7113,185240.0,372570.0
P58A0015,194.0,1985.0,2002.0,18.0,18.0,27.64917525773193,0.22861452545700847,27.1995,27.675,27.99,0.790499999999998,NAP,1985-04-29,2002-04-15,58AS7114,186250.0,372800.0
P58A0016,198.0,1985.0,2002.0,18.0,18.0,27.92808080808081,0.14195642977573655,27.67,27.94,28.12,0.4499999999999993,NAP,1985-04-29,2002-04-15,58AS7115,186270.0,372830.0
P58A0017,40.0,1985.0,1987.0,3.0,3.0,27.726,0.09083092210396398,27.589,27.73,27.88,0.29100000000000037,NAP,1985-04-29,1987-11-11,58AS7116,182800.0,372410.0
P58A0018,33.0,1985.0,1987.0,3.0,3.0,27.7169696969697,0.10125724815059067,27.57,27.73,27.864,0.2940000000000005,NAP,1985-04-29,1987-04-29,58AS7117,183000.0,372570.0
P58A0019,92.0,1985.0,1995.0,10.0,11.0,27.0858695652174,0.15217942110023377,26.86,27.105,27.31,0.4499999999999993,NAP,1985-04-29,1995-06-15,58AS7118,183380.0,373380.0
P58A0020,212.0,1985.0,2002.0,18.0,18.0,27.770377358490578,0.19095382697054142,27.4255,27.83,28.01,0.584500000000002,NAP,1985-04-29,2002-04-15,58AS7119,184080.0,373620.0
P58A0021,202.0,1985.0,2002.0,18.0,18.0,26.422920792079193,0.2002334052561262,26.08,26.45,26.74,0.6600000000000001,NAP,1985-04-29,2002-04-15,58AS7120,184120.0,374320.0
P58A0022,193.0,1985.0,2002.0,18.0,18.0,26.654145077720212,0.2123195795088915,26.326,26.64,27.041999999999998,0.7159999999999975,NAP,1985-04-29,2002-04-15,58AS7121,184150.0,374340.0
P58A0023,48.0,1985.0,1987.0,3.0,3.0,27.652916666666666,0.12930186244291186,27.437,27.695,27.802999999999997,0.3659999999999961,NAP,1985-04-29,1987-04-29,58AS7122,185080.0,374430.0
P58A0024,47.0,1985.0,1987.0,3.0,3.0,27.61468085106384,0.07558039381807118,27.52,27.61,27.717,0.19699999999999918,NAP,1985-04-29,1987-04-29,58AS7123,185480.0,373120.0
P58A0025,54.0,1985.0,1987.0,3.0,3.0,28.034444444444443,0.10074564772034182,27.903,28.035,28.2075,0.3045000000000009,NAP,1985-04-29,1987-11-11,58AS7124,186050.0,373670.0
P58A0026,54.0,1985.0,1987.0,3.0,3.0,27.969259259259267,0.05794766187191745,27.86,27.975,28.063499999999998,0.20349999999999824,NAP,1985-04-29,1987-11-11,58AS7125,186370.0,373590.0
