locname,nmeas,firstyear,lastyear,nyears,yearspan,mean,std,q05,q50,q95,q95-q05,ref,firstdate,lastdate,alias,xcr,ycr
P01C0001,627.0,1960.0,1987.0,28.0,28.0,2.6881020733652266,0.22461767825678972,2.333,2.68,3.07,0.7369999999999997,NAP,1960-01-14,1987-12-14,01CS0006,146340.0,601300.0
P01C0002,304.0,1960.0,1973.0,14.0,14.0,3.2630592105263174,0.3074490750941892,2.8115,3.24,3.8,0.9884999999999997,NAP,1960-01-14,1973-06-28,01CS0012,149990.0,601250.0
P01C0003,380.0,1960.0,1977.0,18.0,18.0,4.20886842105263,0.24164679855822033,3.81,4.22,4.62,0.81,NAP,1960-01-14,1977-06-14,01CS0015,145950.0,600800.0
P01D0001,582.0,1960.0,1986.0,27.0,27.0,2.8227835051546393,0.29238143432059627,2.38,2.81,3.31,0.9300000000000002,NAP,1960-01-14,1986-07-15,01DS0009,154990.0,603140.0
P01D0002,343.0,1960.0,1974.0,15.0,15.0,1.8793586005830918,0.25428870462256226,1.5210000000000001,1.83,2.32,0.7989999999999997,NAP,1960-01-14,1974-10-14,01DS0015,150500.0,602490.0
P01D0003,582.0,1960.0,1986.0,27.0,27.0,2.642783505154642,0.28108007422576814,2.19,2.62,3.11,0.9199999999999999,NAP,1960-01-14,1986-07-15,01DS0022,154890.0,602310.0
P01D0004,777.0,1960.0,2000.0,41.0,41.0,2.259703989703988,0.22608738365617562,1.89,2.23,2.65,0.76,NAP,1960-01-14,2000-07-26,01DS0030,151920.0,601880.0
P01D0005,194.0,1996.0,2005.0,10.0,10.0,2.18979381443299,0.503147563067345,0.943,2.365,2.5534999999999997,1.6104999999999996,NAP,1996-05-28,2005-04-25,01DS7041,155400.0,603540.0
P01D0006,185.0,1996.0,2005.0,10.0,10.0,2.269945945945944,0.5758297390432588,0.832,2.52,2.6959999999999997,1.8639999999999999,NAP,1996-05-28,2005-04-25,01DS7042,156080.0,603740.0
P01D0007,192.0,1996.0,2005.0,10.0,10.0,2.188385416666667,0.5528592953134506,0.76,2.39,2.5745,1.8145,NAP,1996-05-28,2005-03-14,01DS7043,155820.0,603085.0
P01D0008,193.0,1996.0,2005.0,10.0,10.0,2.18922279792746,0.5272451172312685,0.86,2.36,2.5579999999999994,1.6979999999999995,NAP,1996-05-28,2005-03-14,01DS7044,156300.0,603420.0
P01D0009,59.0,1996.0,1998.0,3.0,3.0,2.312372881355933,0.11461087062618705,2.108,2.32,2.451,0.34299999999999997,NAP,1996-05-28,1998-10-28,01DS7045,155975.0,602960.0
P01D0010,59.0,1996.0,1998.0,3.0,3.0,2.288813559322034,0.09065061282792473,2.14,2.29,2.433,0.2929999999999997,NAP,1996-05-28,1998-10-28,01DS7046,156240.0,602970.0
P01D0011,73.0,1996.0,1999.0,4.0,4.0,1.9523287671232874,0.10554778470154337,1.838,1.92,2.15,0.31199999999999983,NAP,1996-08-13,1999-08-31,01DS7047,156000.0,602590.0
P01H0001,145.0,2012.0,2019.0,8.0,8.0,0.6939310344827597,0.10295830164389198,0.54,0.72,0.85,0.30999999999999994,NAP,2012-12-13,2019-10-24,,172609.0,605746.0
P01H0002,68.0,2012.0,2015.0,4.0,4.0,0.8497058823529408,0.06250899847425656,0.757,0.855,0.93,0.17300000000000004,NAP,2012-12-13,2015-12-31,,172610.0,605746.0
P01H0003,150.0,2012.0,2019.0,8.0,8.0,1.3863999999999967,0.08712622949360192,1.2225,1.4,1.5,0.2775000000000001,NAP,2012-12-13,2019-10-24,,172661.0,606222.0
P02G0001,704.0,1988.0,2018.0,31.0,31.0,-0.02305397727272701,0.30610556558392754,-0.24,-0.09,0.93,1.17,NAP,1988-07-28,2018-09-25,02GS7803,206190.0,602665.0
P02G0002,674.0,1988.0,2018.0,30.0,31.0,-0.2860830860534127,0.31691130878095175,-0.59,-0.31,0.63,1.22,NAP,1988-08-14,2018-09-25,02GS7804,205080.0,602130.0
P02G0003,707.0,1988.0,2018.0,31.0,31.0,0.40224893917963545,0.2149396258426348,-0.04,0.43,0.61,0.65,NAP,1988-08-14,2018-09-25,02GS7805,205070.0,602060.0
P02G0004,701.0,1988.0,2018.0,31.0,31.0,0.7051069900142657,0.2785608858189047,0.16,0.74,1.04,0.88,NAP,1988-08-14,2018-09-25,02GS7806,205290.0,601725.0
P02G0008,2993.0,2011.0,2020.0,10.0,10.0,-0.8764249916471879,0.13976578408876283,-1.02,-0.91,-0.59,0.43000000000000005,NAP,2011-11-29,2020-02-07,,206066.0,601057.0
P02G0009,2650.0,2011.0,2020.0,10.0,10.0,-0.8704867924528394,0.14644042749952038,-1.02,-0.91,-0.55,0.47,NAP,2011-11-29,2020-02-07,,207900.0,601680.0
P02G0010,4382.0,2008.0,2020.0,13.0,13.0,-0.8919511638521216,0.13164422733458225,-1.02,-0.92,-0.6,0.42000000000000004,NAP,2008-01-01,2020-01-02,,208695.0,602672.0
P02G0011,71.0,2016.0,2020.0,5.0,5.0,0.1730985915492958,0.1605756746325613,-0.01,0.18,0.37,0.38,NAP,2016-05-17,2020-01-29,,205956.0,602313.0
P02G0012,89.0,2016.0,2020.0,5.0,5.0,-0.4282022471910114,0.1638635920913324,-0.7,-0.46,-0.13200000000000017,0.5679999999999998,NAP,2016-05-17,2020-01-29,,205128.0,602114.0
P02G0013,87.0,2016.0,2020.0,5.0,5.0,0.44160919540229904,0.2631909447584272,0.0,0.54,0.7,0.7,NAP,2016-05-17,2020-01-29,,205088.0,602066.0
P02G0014,86.0,2016.0,2020.0,5.0,5.0,0.8917441860465113,0.19626627686994147,0.55,0.9,1.16,0.6099999999999999,NAP,2016-05-17,2020-01-29,,205747.0,601257.0
P03D0001,68.0,1997.0,2000.0,4.0,4.0,0.38838235294117646,0.09985975679530198,0.2735,0.37,0.56,0.28650000000000003,NAP,1997-01-14,2000-04-28,03DS7000,233040.0,602320.0
P03D0002,54.0,1996.0,2000.0,5.0,5.0,0.4007407407407407,0.12188537534901078,0.15,0.445,0.56,0.41000000000000003,NAP,1996-11-29,2000-04-28,03DS7001,233230.0,603040.0
P03D0003,42.0,1998.0,2000.0,3.0,3.0,0.3207142857142857,0.035018661028215506,0.27,0.32,0.3889999999999999,0.11899999999999988,NAP,1998-07-14,2000-04-28,03DS7602,230750.0,604900.0
P03G0001,89.0,1981.0,1985.0,5.0,5.0,0.20067415730337063,0.16852837468677467,-0.06999999999999997,0.29,0.39,0.45999999999999996,NAP,1981-01-28,1985-02-28,03GS0008,241140.0,602930.0
P03G0002,152.0,1978.0,1985.0,8.0,8.0,0.34144736842105283,0.14600829104072,0.05,0.4,0.5224999999999994,0.4724999999999994,NAP,1978-05-30,1985-07-01,03GS0009,241180.0,602910.0
P03G0003,152.0,1978.0,1985.0,8.0,8.0,0.5015131578947366,0.09030309425676271,0.3,0.5,0.6,0.3,NAP,1978-05-30,1985-07-01,03GS0010,241220.0,602860.0
P03G0004,0.0,,,0.0,,,,,,,,NAP,,,,242430.0,609180.0
P03G0007,0.0,,,0.0,,,,,,,,NAP,,,,242225.0,609179.0
P03G0008,0.0,,,0.0,,,,,,,,NAP,,,,240506.0,608389.0
P03G0010,0.0,,,0.0,,,,,,,,NAP,,,,241076.0,608840.0
P04D0001,6.0,1982.0,1988.0,4.0,7.0,1.3533333333333335,0.05240865068542276,1.295,1.355,1.4224999999999999,0.12749999999999995,NAP,1982-01-28,1988-01-27,04DS7028,119095.0,576635.0
P04D0002,21.0,1981.0,1988.0,7.0,8.0,0.9514285714285714,0.06559616713541382,0.88,0.93,1.07,0.19000000000000006,NAP,1981-11-28,1988-03-30,04DS7029,119165.0,576655.0
P04D0003,225.0,1981.0,1994.0,14.0,14.0,0.9416444444444437,0.07885032032828414,0.84,0.93,1.0979999999999999,0.2579999999999999,NAP,1981-09-28,1994-06-28,04DS7030,119195.0,576690.0
P04D0004,324.0,1995.0,2019.0,25.0,25.0,1.0082098765432113,0.14602219739222555,0.85,0.98,1.2169999999999992,0.3669999999999992,NAP,1995-01-14,2019-10-31,04DS7030,119220.0,576660.0
P04D0005,144.0,1981.0,1990.0,10.0,10.0,1.0141666666666667,0.060885080331662574,0.9315,1.0,1.1384999999999998,0.20699999999999985,NAP,1981-09-28,1990-05-14,04DS7031,119230.0,576860.0
P04D0006,32.0,1981.0,1984.0,4.0,4.0,1.148125,0.03658287101380782,1.0810000000000002,1.145,1.2045,0.12349999999999972,NAP,1981-10-14,1984-12-28,04DS7032,119185.0,576910.0
P04D0007,7.0,1985.0,1985.0,1.0,1.0,1.5342857142857143,0.04391550328268404,1.475,1.54,1.587,0.11199999999999988,NAP,1985-09-13,1985-12-16,04DS7033,117930.0,576125.0
P04D0008,2.0,1986.0,1986.0,1.0,1.0,2.21,0.014142135623730963,2.201,2.21,2.2190000000000003,0.018000000000000238,NAP,1986-01-16,1986-01-28,04DS7034,117955.0,576095.0
P04D0009,17.0,1985.0,1986.0,2.0,2.0,1.372352941176471,0.059742092757609506,1.296,1.38,1.476,0.17999999999999994,NAP,1985-01-30,1986-03-14,04DS7035,118265.0,576310.0
P04G0001,513.0,1996.0,2019.0,24.0,24.0,0.9657894736842103,0.3348965128843614,0.5660000000000001,0.9,1.5139999999999998,0.9479999999999997,NAP,1996-04-14,2019-04-28,04GS7000,127080.0,586540.0
P04G0002,22.0,1993.0,1995.0,3.0,3.0,1.7972727272727271,0.2957505676552427,1.482,1.73,2.5685,1.0864999999999998,NAP,1993-02-12,1995-02-28,04GS7017,127050.0,586600.0
P04G0003,17.0,1993.0,1995.0,3.0,3.0,1.6264705882352943,0.052671289198977726,1.546,1.62,1.72,0.17399999999999993,NAP,1993-02-12,1995-02-28,04GS7018,127200.0,586300.0
P04G0004,13.0,1993.0,1995.0,3.0,3.0,1.7800000000000002,0.05656854249492382,1.702,1.79,1.8579999999999999,0.15599999999999992,NAP,1993-02-12,1995-02-28,04GS7019,127400.0,585850.0
P04G0005,17.0,1993.0,1995.0,3.0,3.0,1.4711764705882353,0.05622303275139743,1.384,1.47,1.56,0.17600000000000016,NAP,1993-02-12,1995-02-28,04GS7020,127450.0,585600.0
P04G0006,98.0,2004.0,2010.0,6.0,7.0,-0.6460204081632653,0.1230098461897481,-0.78,-0.625,-0.5,0.28,NAP,2004-03-28,2010-07-27,04GS7028,120539.0,575784.0
P04G0007,328.0,1995.0,2010.0,16.0,16.0,-0.035762195121951224,0.3298790875291284,-0.24249999999999994,0.01,0.2,0.44249999999999995,NAP,1995-01-14,2010-07-27,04GS7029,120594.0,575827.0
P04G0008,46.0,1995.0,1997.0,3.0,3.0,-0.46304347826086956,0.1627659473697997,-0.775,-0.44,-0.23500000000000001,0.54,NAP,1995-01-14,1997-03-14,,120570.0,575730.0
P04G0009,164.0,2011.0,2019.0,9.0,9.0,-0.5332317073170731,0.09406260789071372,-0.63,-0.55,-0.28300000000000014,0.34699999999999986,NAP,2011-12-13,2019-10-28,,120533.0,575779.0
P05A0002,266.0,1960.0,1971.0,12.0,12.0,4.024172932330826,0.2782130854667947,3.635,4.0,4.46,0.8250000000000002,NAP,1960-01-14,1971-07-30,05AS0041,145400.0,599110.0
P05A0004,268.0,1960.0,1971.0,12.0,12.0,4.4393656716417915,0.3418521493287278,3.93,4.405,5.01,1.0799999999999996,NAP,1960-01-14,1971-07-30,05AS0048,144190.0,598300.0
P05F0001,524.0,1955.0,1980.0,26.0,26.0,-0.5521183206106869,0.18840960963322848,-0.85,-0.55,-0.19150000000000034,0.6584999999999996,NAP,1955-11-14,1980-10-28,05FS0005,172690.0,591180.0
P05G0001,644.0,1961.0,1988.0,28.0,28.0,-0.8130434782608696,0.11577338017073102,-1.04,-0.8,-0.64,0.4,NAP,1961-02-28,1988-07-28,05GS0025,168580.0,579840.0
P05G0002,337.0,1961.0,1978.0,18.0,18.0,-0.9414540059347181,0.10801768397289861,-1.08,-0.95,-0.73,0.3500000000000001,NAP,1961-02-28,1978-10-30,05GS0029,162090.0,577400.0
P05H0001,553.0,1960.0,1986.0,27.0,27.0,-0.8966726943942152,0.10218693581314262,-1.13,-0.87,-0.8,0.32999999999999985,NAP,1960-01-28,1986-11-14,05HS0021,171220.0,585000.0
P05H0002,396.0,1961.0,1977.0,17.0,17.0,-0.8152525252525252,0.12772274905637754,-1.0125,-0.83,-0.59,0.4225,NAP,1961-02-28,1977-12-28,05HS0025,179340.0,578760.0
P05H0003,288.0,1961.0,1978.0,18.0,18.0,-0.5625694444444441,0.12980686016015483,-0.7565,-0.565,-0.37,0.38649999999999995,NAP,1961-02-28,1978-07-14,05HS0035,171470.0,576250.0
P05H0004,205.0,1996.0,2005.0,10.0,10.0,-0.4768780487804878,0.1692602409682932,-0.738,-0.48,-0.24,0.498,NAP,1996-08-14,2005-10-14,05HS7000,170140.0,586250.0
P05H0005,102.0,1998.0,2002.0,5.0,5.0,-0.4574509803921568,0.21505553634329103,-0.8194999999999999,-0.44,-0.2,0.6194999999999999,NAP,1998-01-13,2002-09-13,05HS7005,172145.0,586200.0
P05H0006,472.0,1997.0,2018.0,22.0,22.0,-0.9639406779661028,0.48732396862994304,-1.52,-1.22,-0.3255000000000001,1.1945,NAP,1997-04-28,2018-12-28,05HS7006,171520.0,585400.0
P05H0007,501.0,1997.0,2018.0,22.0,22.0,-0.9427544910179644,0.13051129301631498,-1.2,-0.9,-0.81,0.3899999999999999,NAP,1997-03-31,2018-12-28,05HS7007,171800.0,584720.0
P05H0008,506.0,1997.0,2018.0,22.0,22.0,-0.8007707509881419,0.1661253219360185,-1.1,-0.79,-0.56,0.54,NAP,1997-03-31,2018-12-28,05HS7008,176100.0,582160.0
P05H0009,115.0,2014.0,2018.0,5.0,5.0,-0.44130434782608696,0.1354040201217863,-0.653,-0.45,-0.25700000000000006,0.39599999999999996,NAP,2014-02-14,2018-12-28,,171506.0,585993.0
P05H0010,115.0,2014.0,2018.0,5.0,5.0,-0.43965217391304345,0.12883370510000108,-0.64,-0.44,-0.27,0.37,NAP,2014-02-14,2018-12-28,,172272.0,586000.0
P06A0001,484.0,1953.0,1976.0,24.0,24.0,-0.42495867768595047,0.17668502096277547,-0.74,-0.4,-0.21,0.53,NAP,1953-07-28,1976-05-29,06AS0005,187280.0,596510.0
P06A0002,371.0,1961.0,1985.0,23.0,25.0,-0.37598382749326054,0.25493674839789027,-0.77,-0.24,-0.12,0.65,NAP,1961-02-28,1985-03-14,06AS0016,185040.0,593670.0
P06A0003,451.0,1953.0,1975.0,23.0,23.0,-0.4666962305986698,0.16372590498616219,-0.7,-0.48,-0.17,0.5299999999999999,NAP,1953-04-29,1975-03-28,06AS0020,186070.0,592460.0
P06A0004,839.0,1953.0,1994.0,42.0,42.0,-0.9647318235995225,0.2553983146328784,-1.31,-1.05,-0.61,0.7000000000000001,NAP,1953-03-14,1994-11-30,06AS0028,187150.0,589460.0
P06A0005,128.0,1961.0,1972.0,11.0,12.0,-0.6353124999999998,0.15620971921731616,-0.9864999999999999,-0.61,-0.4335000000000001,0.5529999999999998,NAP,1961-02-28,1972-04-28,06AS0034,180200.0,588900.0
P06A0006,478.0,1996.0,2018.0,22.0,23.0,-1.0582217573221764,0.1850456824651734,-1.3715000000000002,-1.085,-0.74,0.6315000000000002,NAP,1996-08-16,2018-12-28,06AS7000,182500.0,587690.0
P06A0007,331.0,1996.0,2012.0,17.0,17.0,-0.7045921450151067,0.1895882295571038,-0.975,-0.72,-0.38,0.595,NAP,1996-08-16,2012-02-28,06AS7006,183640.0,587770.0
P06A0008,457.0,1997.0,2018.0,22.0,22.0,-0.4152735229759307,0.43200874851447685,-1.26,-0.23,-0.05,1.21,NAP,1997-03-31,2018-07-28,06AS7007,184200.0,591040.0
P06A0009,496.0,1997.0,2018.0,22.0,22.0,-0.9395362903225805,0.13841814374833863,-1.1925,-0.94,-0.7175,0.47499999999999987,NAP,1997-03-31,2018-12-28,06AS7008,184640.0,593150.0
P06A0010,459.0,1997.0,2018.0,22.0,22.0,-1.2832461873638357,0.23677999655876042,-1.602,-1.28,-0.97,0.6320000000000001,NAP,1997-03-31,2018-12-28,06AS7009,188530.0,595570.0
P06A0011,503.0,1997.0,2018.0,22.0,22.0,-0.9930417495029826,0.23454391667898017,-1.38,-0.98,-0.6110000000000002,0.7689999999999997,NAP,1997-03-31,2018-12-28,06AS7010,187890.0,590900.0
P06B0001,368.0,1980.0,1996.0,17.0,17.0,-1.6221739130434798,0.10360347891601869,-1.7365,-1.62,-1.45,0.2865,NAP,1980-09-12,1996-07-16,06BS7000,191700.0,591110.0
P06B0002,443.0,1996.0,2019.0,24.0,24.0,-1.7518058690744938,0.10643710892128387,-1.95,-1.74,-1.6010000000000004,0.34899999999999953,NAP,1996-07-30,2019-02-28,06BS7000,191700.0,591120.0
P06B0003,808.0,1980.0,2019.0,40.0,40.0,-0.6369925742574244,0.25536618010674805,-1.02,-0.63,-0.21,0.81,NAP,1980-09-12,2019-02-28,06BS7001,192630.0,587580.0
P06B0004,377.0,1997.0,2019.0,20.0,23.0,-1.5385145888594167,1.0247386384084662,-1.98,-1.86,1.7019999999999997,3.6819999999999995,NAP,1997-04-30,2019-05-28,06BS7002,199990.0,595460.0
P06B0005,75.0,1997.0,2000.0,4.0,4.0,-0.4217333333333333,0.23593616482827276,-0.57,-0.47,-0.04900000000000221,0.5209999999999977,NAP,1997-01-02,2000-09-14,06BS7006,199500.0,593140.0
P06B0006,103.0,2002.0,2006.0,5.0,5.0,-0.7327184466019419,0.09007833382681034,-0.91,-0.71,-0.6410000000000001,0.2689999999999999,NAP,2002-01-14,2006-12-29,06BS7007,199464.0,593115.0
P06B0007,378.0,1997.0,2018.0,22.0,22.0,-1.8175396825396837,0.6873830971836565,-2.65,-1.5,-0.6970000000000004,1.9529999999999994,NAP,1997-04-01,2018-02-13,06BS7009,193740.0,588300.0
P06B0008,25.0,1997.0,1998.0,2.0,2.0,-1.5728,0.08614522621712707,-1.66,-1.58,-1.474,0.18599999999999994,NAP,1997-04-01,1998-10-28,06BS7010,199410.0,588380.0
P06B0009,367.0,2000.0,2019.0,20.0,20.0,-1.545204359673025,0.10465869161027755,-1.7169999999999999,-1.53,-1.41,0.30699999999999994,NAP,2000-12-14,2019-02-28,06BS7011,191561.0,591082.0
P06B0011,17.0,2018.0,2019.0,2.0,2.0,-0.9570588235294117,0.08191189671549191,-1.102,-0.92,-0.88,0.2220000000000001,NAP,2018-09-14,2019-05-28,,199435.0,588188.0
P06B0012,17.0,2018.0,2019.0,2.0,2.0,-1.2788235294117645,0.13541059564068358,-1.43,-1.31,-1.098,0.33199999999999985,NAP,2018-09-14,2019-05-28,,199307.0,588434.0
P06C0001,1139.0,1977.0,1984.0,6.0,8.0,-0.5781650570675997,0.09367175689492237,-0.66,-0.6,-0.42,0.24000000000000005,NAP,1977-08-15,1984-12-21,06CS0001,180700.0,581460.0
P06C0002,389.0,1997.0,2015.0,19.0,19.0,-1.1297686375321336,0.07415988539290906,-1.24,-1.13,-1.01,0.22999999999999998,NAP,1997-04-30,2015-03-28,06CS7000,187580.0,585040.0
P06C0003,380.0,1997.0,2015.0,19.0,19.0,-1.3007631578947378,0.07665979885474483,-1.39,-1.32,-1.18,0.20999999999999996,NAP,1997-04-01,2015-03-28,06CS7005,185540.0,586220.0
P06C0004,319.0,1997.0,2011.0,15.0,15.0,-0.7763009404388708,0.14850656032052037,-1.15,-0.74,-0.6,0.5499999999999999,NAP,1997-03-31,2011-11-29,06CS7006,183620.0,587255.0
P06C0005,473.0,1997.0,2019.0,23.0,23.0,-2.3083509513742007,0.08606158789593217,-2.42,-2.3,-2.18,0.23999999999999977,NAP,1997-03-31,2019-07-28,06CS7007,185360.0,575760.0
P06C0006,391.0,1997.0,2015.0,19.0,19.0,-0.7702046035805623,0.06707790403345901,-0.88,-0.77,-0.655,0.22499999999999998,NAP,1997-04-01,2015-03-28,06CS7008,186550.0,585920.0
P06C0007,25.0,1991.0,1994.0,4.0,4.0,-0.9528000000000002,0.16984110221027185,-1.214,-0.93,-0.6960000000000001,0.5179999999999999,NAP,1991-04-26,1994-10-14,06CS7606,189186.0,582618.0
P06C0008,140.0,1991.0,1998.0,8.0,8.0,-0.9024999999999996,0.06889805836192457,-0.99,-0.92,-0.77,0.21999999999999997,NAP,1991-04-26,1998-04-15,06CS7607,186950.0,582475.0
P06C0009,144.0,1991.0,1998.0,8.0,8.0,-1.304444444444445,0.17271091404152727,-1.49,-1.38,-0.98,0.51,NAP,1991-04-26,1998-08-14,06CS7608,186977.0,583171.0
P06C0010,141.0,1991.0,1998.0,8.0,8.0,-1.0406382978723396,0.09921270631438761,-1.2,-1.04,-0.91,0.2899999999999999,NAP,1991-04-26,1998-08-14,06CS7609,189441.0,582943.0
P06C0011,92.0,1991.0,1997.0,7.0,7.0,-0.8985869565217388,0.15265116105308604,-1.19,-0.91,-0.6365,0.5535,NAP,1991-04-26,1997-07-29,06CS7610,188441.0,582587.0
P06C0013,132.0,1991.0,1998.0,8.0,8.0,-1.0605303030303033,0.10991540393084821,-1.2045,-1.07,-0.9355000000000001,0.2689999999999998,NAP,1991-04-26,1998-08-14,06CS7611,188752.0,582610.0
P06C0014,55.0,1991.0,1994.0,4.0,4.0,-1.0403636363636364,0.06844742876873101,-1.1829999999999998,-1.05,-0.9540000000000001,0.22899999999999976,NAP,1991-04-26,1994-02-28,06CS7612,189107.0,582633.0
P06C0015,229.0,1991.0,2004.0,13.0,14.0,-1.0648471615720527,0.07325513126913953,-1.21,-1.05,-0.96,0.25,NAP,1991-04-26,2004-04-14,06CS7613,187145.0,582892.0
P06C0016,228.0,1991.0,2004.0,13.0,14.0,-0.47701754385964934,0.06130633451128453,-0.54,-0.49,-0.3635000000000002,0.17649999999999982,NAP,1991-04-26,2004-04-14,06CS7614,187670.0,582972.0
P06C0017,229.0,1991.0,2004.0,13.0,14.0,-0.9846724890829699,0.08016158124844451,-1.12,-0.98,-0.8840000000000001,0.236,NAP,1991-04-26,2004-04-14,06CS7615,189510.0,582265.0
P06C0018,229.0,1991.0,2004.0,13.0,14.0,-1.0401746724890824,0.10627655525942177,-1.206,-1.03,-0.9,0.30599999999999994,NAP,1991-04-26,2004-04-14,06CS7616,189547.0,582215.0
P06C0019,229.0,1991.0,2004.0,13.0,14.0,-1.128078602620087,0.07555509739189283,-1.24,-1.13,-1.0,0.24,NAP,1991-04-26,2004-04-14,06CS7617,187115.0,583139.0
P06C0020,12.0,1991.0,1992.0,2.0,2.0,-0.525,0.1265988654264829,-0.6425,-0.565,-0.3265000000000002,0.3159999999999998,NAP,1991-09-30,1992-09-28,06CS7618,189485.0,582712.0
P06C0021,325.0,2004.0,2018.0,15.0,15.0,-0.8767999999999998,0.3278722651006368,-1.32,-0.93,-0.4019999999999999,0.9180000000000001,NAP,2004-07-14,2018-10-30,,189614.0,581814.0
P06D0001,93.0,1961.0,1967.0,7.0,7.0,-0.015268817204301068,0.12048445144002265,-0.25,0.03,0.09799999999999982,0.3479999999999998,NAP,1961-03-14,1967-04-14,06DS0033,196990.0,583950.0
P06D0002,189.0,1961.0,1974.0,14.0,14.0,-0.5670899470899466,0.1522508336087906,-0.75,-0.61,-0.28800000000000014,0.46199999999999986,NAP,1961-02-28,1974-10-14,06DS0066,198170.0,584510.0
P06D0003,99.0,1980.0,1985.0,6.0,6.0,-1.1466666666666665,0.08365380555404196,-1.271,-1.15,-1.02,0.2509999999999999,NAP,1980-12-12,1985-01-30,06DS7015,195410.0,586130.0
P06D0004,367.0,1980.0,1996.0,17.0,17.0,1.0398910081743873,0.11058705297206527,0.9,1.02,1.24,0.33999999999999997,NAP,1980-09-12,1996-07-16,06DS7016,195685.0,585720.0
P06D0005,163.0,1996.0,2004.0,9.0,9.0,-0.9837423312883439,0.06258905644858488,-1.09,-0.98,-0.91,0.18000000000000005,NAP,1996-07-30,2004-06-28,06DS7016,195670.0,585720.0
P06D0006,360.0,1980.0,1996.0,17.0,17.0,0.9696111111111103,0.08273435617901014,0.84,0.96,1.09,0.2500000000000001,NAP,1980-12-12,1996-07-16,06DS7017,195990.0,585310.0
P06D0007,163.0,1996.0,2004.0,9.0,9.0,-1.0338036809815958,0.07653941604551841,-1.14,-1.03,-0.94,0.19999999999999996,NAP,1996-07-30,2004-06-28,06DS7017,195960.0,585340.0
P06D0008,42.0,1983.0,1985.0,3.0,3.0,0.32833333333333337,0.1719034991154342,0.0905,0.27,0.5595,0.469,NAP,1983-01-14,1985-01-03,06DS7019,199830.0,578420.0
P06D0009,42.0,1983.0,1985.0,3.0,3.0,0.9109523809523811,0.08132468871254782,0.7025,0.92,0.9994999999999999,0.29699999999999993,NAP,1983-01-14,1985-01-03,06DS7020,199830.0,578420.0
P06D0010,392.0,1997.0,2019.0,23.0,23.0,-1.007448979591836,0.3771594226939496,-2.057,-0.93,-0.6655000000000002,1.3914999999999997,NAP,1997-04-02,2019-10-28,06DS7021,199840.0,578400.0
P06D0011,400.0,1996.0,2019.0,22.0,24.0,-1.1011999999999993,0.6781532197620862,-1.43,-1.28,1.1704999999999994,2.6004999999999994,NAP,1996-10-15,2019-03-28,06DS7022,192680.0,586830.0
P06D0012,150.0,1997.0,2004.0,8.0,8.0,-0.8904,0.10359886501412437,-1.0855000000000001,-0.86,-0.76,0.3255000000000001,NAP,1997-04-01,2004-06-28,06DS7029,195700.0,585680.0
P06D0013,214.0,1997.0,2008.0,12.0,12.0,-1.8706542056074766,0.402501033219535,-2.57,-1.67,-1.49,1.0799999999999998,NAP,1997-04-02,2008-01-14,06DS7037,199275.0,575470.0
P06D0014,298.0,1997.0,2017.0,18.0,21.0,-1.3406711409395995,0.162686471842558,-1.58,-1.3450000000000002,-1.15,0.43000000000000016,NAP,1997-04-02,2017-03-14,06DS7038,199100.0,575330.0
P06D0015,143.0,1996.0,2004.0,9.0,9.0,-1.2963636363636375,0.04572645941803378,-1.36,-1.29,-1.2409999999999999,0.11900000000000022,NAP,1996-10-15,2004-12-28,06DS7039,192620.0,586500.0
P06D0016,345.0,1997.0,2015.0,18.0,19.0,-1.4136521739130445,0.07517418263663352,-1.5,-1.42,-1.3,0.19999999999999996,NAP,1997-04-02,2015-07-28,06DS7040,199310.0,575485.0
P06D0017,16.0,2018.0,2019.0,2.0,2.0,-0.54125,0.030740852297878787,-0.58,-0.55,-0.4925,0.08749999999999997,NAP,2018-09-14,2019-05-28,,197834.0,586510.0
P06D0018,66.0,2015.0,2019.0,5.0,5.0,-0.9175757575757576,0.06124504641973678,-1.0275,-0.9,-0.85,0.1775000000000001,NAP,2015-10-28,2019-03-28,,196038.0,586291.0
P06D0019,53.0,2015.0,2019.0,5.0,5.0,-0.627924528301887,0.10859874079462002,-0.8460000000000001,-0.61,-0.496,0.3500000000000001,NAP,2015-10-28,2019-03-28,,195736.0,585693.0
P06D0020,25.0,2018.0,2019.0,2.0,2.0,-0.1188,0.12872192250480619,-0.264,-0.17,0.09799999999999998,0.362,NAP,2018-10-15,2019-10-28,,197410.0,578743.0
P06D0021,25.0,2018.0,2019.0,2.0,2.0,-1.6208,0.1065332498956703,-1.678,-1.63,-1.574,0.10399999999999987,NAP,2018-10-15,2019-10-28,,197402.0,578754.0
P06D0022,24.0,2018.0,2019.0,2.0,2.0,-1.2258333333333333,0.11835527455290179,-1.3685,-1.2149999999999999,-1.056,0.3125,NAP,2018-10-29,2019-10-28,,197429.0,578782.0
P06D0023,32.0,2018.0,2019.0,2.0,2.0,-1.0928125000000002,0.646370683496607,-1.6280000000000001,-1.29,-0.5165000000000001,1.1115,NAP,2018-02-13,2019-10-28,,199218.0,575865.0
P06D0024,27.0,2018.0,2019.0,2.0,2.0,-0.7022222222222223,0.19739326879126998,-0.95,-0.66,-0.4070000000000001,0.5429999999999999,NAP,2018-09-14,2019-10-28,,199813.0,575814.0
